Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
JBL,Jabil Inc.,24.46,3959558652.26,n/a,1993,Technology,Electrical Products,https://www.nasdaq.com/symbol/jbl,
JEC,Jacobs Engineering Group Inc.,62.77,8929904877.46,n/a,n/a,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/jec,
JAG,Jagged Peak Energy Inc.,11.74,2502814429.06,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/jag,
JHX,James Hardie Industries plc.,11.34,5006883498.12,n/a,n/a,Capital Goods,Building Materials,https://www.nasdaq.com/symbol/jhx,
JHG,Janus Henderson Group plc,22.79,4423507618.17,n/a,2017,Finance,Investment Managers,https://www.nasdaq.com/symbol/jhg,
JOF,Japan Smaller Capitalization Fund Inc,10.4373,295729341.4089,n/a,1990,n/a,n/a,https://www.nasdaq.com/symbol/jof,
JBGS,JBG SMITH Properties,39.68,4797997233.92,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jbgs,
JEF,Jefferies Financial Group Inc.,20.11,6496995114.05,n/a,n/a,Consumer Non-Durables,Meat/Poultry/Fish,https://www.nasdaq.com/symbol/jef,
JELD,"JELD-WEN Holding, Inc.",18.03,1860044323.68,n/a,2017,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/jeld,
JCAP,"Jernigan Capital, Inc.",21.32,412857429.4,n/a,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/jcap,
JCAP^B,"Jernigan Capital, Inc.",23.84,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jcap^b,
JT,Jianpu Technology Inc.,4.24,712393992.24,n/a,2017,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/jt,
JKS,JinkoSolar Holding Company Limited,11.37,445845943.08,n/a,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/jks,
JMP,JMP Group LLC,4.82,103399840.18,n/a,2007,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmp,
JMPB,JMP Group LLC,25.4364,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpb,
JMPD,JMP Group LLC,24.1125,0,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/jmpd,
JBT,John Bean Technologies Corporation,76.08,2404728727.68,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/jbt,
BTO,John Hancock Financial Opportunities Fund,34.84,650478896.08,n/a,1994,n/a,n/a,https://www.nasdaq.com/symbol/bto,
HEQ,John Hancock Hedged Equity & Income Fund,14.23,173804707.72,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/heq,
JHS,John Hancock Income Securities Trust,12.9,150240946.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jhs,
JHI,John Hancock Investors Trust,15.05,131040726.25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jhi,
HPF,John Hancock Pfd Income Fund II,20.57,437813196.48,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/hpf,
HPI,John Hancock Preferred Income Fund,20.68,538103650.48,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/hpi,
HPS,John Hancock Preferred Income Fund III,17.35,547860689.75,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/hps,
PDT,John Hancock Premium Dividend Fund,15.77,763846065.12,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pdt,
HTD,John Hancock Tax Advantaged Dividend Income Fund,22.45,794392374.45,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/htd,
HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund,7.1,78380300.9,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/hty,
JW.A,"John Wiley & Sons, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.a,
JW.B,"John Wiley & Sons, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jw.b,
JNJ,Johnson & Johnson,146.03,391649242813.07,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/jnj,
JCI,Johnson Controls International plc,33.89,31316358154.4,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jci,
JLL,Jones Lang LaSalle Incorporated,132.99,6059896415.43,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/jll,
JMEI,Jumei International Holding Limited,2.07,310261289.67,n/a,2014,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/jmei,
JNPR,"Juniper Networks, Inc.",28.38,9795481872,n/a,1999,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/jnpr,
JP,Jupai Holdings Limited,8.96,295894645.76,n/a,2015,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/jp,
JE,"Just Energy Group, Inc.",4.19,625550638.05,n/a,n/a,Public Utilities,Oil/Gas Transmission,https://www.nasdaq.com/symbol/je,
JE^A,"Just Energy Group, Inc.",19.5,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/je^a,
LRN,K12 Inc,23.86,959018437.04,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/lrn,
KAI,Kadant Inc,85.89,954005653.44,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kai,
KDMN,"Kadmon Holdings, Inc.",2.5,282827042.5,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/kdmn,
KAMN,Kaman Corporation,54.25,1516758281.5,n/a,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/kamn,
KSU,Kansas City Southern,100.75,10246017180.75,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu,
KSU^,Kansas City Southern,25.8,0,n/a,n/a,Transportation,Railroads,https://www.nasdaq.com/symbol/ksu^,
KAR,"KAR Auction Services, Inc",54.73,7366616624.12,n/a,2009,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/kar,
KMF,"Kayne Anderson Midstream Energy Fund, Inc",10.93,534241994.07,n/a,2010,n/a,n/a,https://www.nasdaq.com/symbol/kmf,
KYN,Kayne Anderson MLP/Midstream Investment Company,15.77,1988565333.84,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/kyn,
KYN^F,Kayne Anderson MLP/Midstream Investment Company,25.07,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kyn^f,
KB,KB Financial Group Inc,42.79,16954838910.46,n/a,n/a,Finance,Commercial Banks,https://www.nasdaq.com/symbol/kb,
KBH,KB Home,20.02,1769526318.56,n/a,1986,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/kbh,
KBR,"KBR, Inc.",17.48,2462545132.64,n/a,2006,Basic Industries,Military/Government/Technical,https://www.nasdaq.com/symbol/kbr,
FRAC,"Keane Group, Inc.",9.8,1035558424.6,n/a,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/frac,
K,Kellogg Company,61.74,21425085430.56,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/k,
KEM,Kemet Corporation,20.5,1177594353.5,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/kem,
KMPA,Kemper Corporation,25.25,0,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpa,
KMPR,Kemper Corporation,72.67,4705174809.14,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kmpr,
KMT,Kennametal Inc.,39.5,3243060007.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/kmt,
KW,Kennedy-Wilson Holdings Inc.,19.3,2782907047.5,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/kw,
